"attempt_id","attempt_order","transition_label","DGP","replication","chain","sentinel","profile","ok","fit_elapsed_seconds","peak_RSS_KiB","reproducibility_eligible","runtime_tree_digest"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",183,2,TRUE,"B",TRUE,2557.665,618660,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",183,3,TRUE,"C",TRUE,2472.205,618368,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",183,4,TRUE,"D",TRUE,2581.523,618556,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",97,1,FALSE,"standard",TRUE,2375.737,608904,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",180,1,TRUE,"A",TRUE,2400.237,608096,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",180,2,TRUE,"B",TRUE,2292.716,616928,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",180,3,TRUE,"C",TRUE,2391.19,617464,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",180,4,TRUE,"D",TRUE,2430.439,617864,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",185,1,FALSE,"standard",TRUE,2555.99,608340,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S03",13,1,FALSE,"standard",TRUE,2579.387,641068,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
