"provider","family","target","estimand","n_chains","n_draws_per_chain","rhat","ess_bulk","ess_tail","mcse_mean","sd","mcse_over_sd","pass"
"posterior","dlm","ET","upper_1140",5,6000,1.00164674158022,2732.03854013546,5030.21821256073,0.00256699188908506,0.133017665270535,0.0192981276875086,TRUE
"posterior","dlm","ET","width_1140",5,6000,1.00066430691906,3068.02099795546,6732.92685289207,0.00383380418292431,0.212317017413638,0.0180569802158405,TRUE
"posterior","dlm","ET","midpoint_1140",5,6000,1.00106817360157,4201.87261201891,7568.79995966824,0.00166666381774482,0.108106791098165,0.015416828127212,TRUE
"posterior","dlm","ET","lower_1200",5,6000,1.00081256355349,4504.07456029824,9370.03305773304,0.0030077843113905,0.201834655459656,0.0149022193663452,TRUE
"posterior","dlm","ET","upper_1200",5,6000,1.00185687188535,3094.75747066425,6041.08440824289,0.00264844918505635,0.147107386321807,0.0180035092137569,TRUE
"posterior","dlm","ET","width_1200",5,6000,1.00082823011835,3569.08358883704,7751.14113186736,0.00409033448843712,0.244367773433093,0.0167384366235061,TRUE
"posterior","dlm","ET","midpoint_1200",5,6000,1.00149288290295,4252.25066219294,8498.97448481393,0.00195551656547438,0.127514718579127,0.0153356144864244,TRUE
"posterior","fixed_design","SH","mean_lower_observed",4,6000,1.00044149030047,4718.50705280019,9080.46257082055,0.000767782320919625,0.0526906710175854,0.0145715039511146,TRUE
"posterior","fixed_design","SH","mean_upper_observed",4,6000,1.00070515850982,1812.42727391396,3466.54839130642,0.0016144946718779,0.0680116491479055,0.0237385020375972,TRUE
"posterior","fixed_design","SH","mean_width_observed",4,6000,1.00077902689074,2073.91835795484,4188.11762929281,0.00189571008627992,0.0857973181474735,0.0220952137807089,TRUE
"posterior","fixed_design","SH","mean_midpoint_observed",4,6000,1.00058202290166,2766.73634488304,5195.24019598145,0.000824142670626337,0.0431352601212269,0.0191060090587184,TRUE
"posterior","fixed_design","SH","observed_mean_tilted_loss",4,6000,1.00069516763606,4331.54343599302,7895.44306816729,0.0436542901494091,2.83564690916807,0.0153948257832342,TRUE
"posterior","fixed_design","SH","lower_0001",4,6000,1.0002547192997,6280.59977850599,10609.2389892226,0.00489869758836072,0.389856333188923,0.0125653918413757,TRUE
"posterior","fixed_design","SH","upper_0001",4,6000,1.001242456282,2334.2832684896,2844.81658475958,0.0118903029286265,0.529664321479795,0.0224487518725198,TRUE
"posterior","fixed_design","SH","width_0001",4,6000,1.00088260972126,2455.1006272486,2903.9387771805,0.0138415347948761,0.65938693573638,0.0209915211307885,TRUE
"posterior","fixed_design","SH","midpoint_0001",4,6000,1.00087690907299,3422.26462732964,3898.23733425991,0.00591248667002347,0.327976133633423,0.0180271857117257,TRUE
"posterior","fixed_design","SH","lower_0121",4,6000,1.00034247347642,5260.68818389148,5295.48035680803,0.00214031258019564,0.149273005104481,0.0143382427298062,TRUE
"posterior","fixed_design","SH","upper_0121",4,6000,1.00149342550176,1851.22897515015,3383.81220808926,0.00494047321525239,0.209062036490342,0.0236316133631493,TRUE
"posterior","fixed_design","SH","width_0121",4,6000,1.00122322359134,1981.99106943527,3381.33495645528,0.00590539126232462,0.258867850805604,0.0228123779911135,TRUE
"posterior","fixed_design","SH","midpoint_0121",4,6000,1.00091531443167,2865.18204601533,4399.6751338609,0.00243112431840332,0.127442306680425,0.0190762736624001,TRUE
"posterior","fixed_design","SH","lower_0241",4,6000,1.00001508670388,7679.22639183005,12698.0315657544,0.00140936919326847,0.122697303826504,0.0114865538957673,TRUE
"posterior","fixed_design","SH","upper_0241",4,6000,1.00099033089528,2185.20588380829,3467.4614043145,0.00398591485557289,0.182236141986434,0.0218722521895224,TRUE
"posterior","fixed_design","SH","width_0241",4,6000,1.00088368567048,2468.25510018618,3640.06235541232,0.00449803922937349,0.219138619964507,0.0205259996165989,TRUE
"posterior","fixed_design","SH","midpoint_0241",4,6000,1.00059221416316,3475.60532709327,4873.10231375364,0.00192437820687496,0.110122142261261,0.0174749434342591,TRUE
"posterior","fixed_design","SH","lower_0361",4,6000,1.00012687193788,6195.6969705845,11118.6773489389,0.00132669568034512,0.104170228498575,0.0127358430471645,TRUE
"posterior","fixed_design","SH","upper_0361",4,6000,1.00148897088724,1616.8676932585,2856.2945638561,0.00429051409095371,0.169683395052663,0.025285409274267,TRUE
"posterior","fixed_design","SH","width_0361",4,6000,1.00116942472353,1790.77268416407,2805.29590068203,0.00488451613147292,0.202964704474676,0.02406584013765,TRUE
"posterior","fixed_design","SH","midpoint_0361",4,6000,1.00090692575077,2417.04912723346,3811.59442652053,0.00202647961420022,0.0975872825495131,0.0207658166234113,TRUE
"posterior","fixed_design","SH","lower_0481",4,6000,1.00023488319673,5674.7167942705,8748.41393581206,0.00161488636719651,0.121102329865691,0.0133348909883691,TRUE
"posterior","fixed_design","SH","upper_0481",4,6000,1.00164475075857,1559.01959872366,2262.74037197258,0.00511958174424123,0.196004017739889,0.0261197796008206,TRUE
"posterior","fixed_design","SH","width_0481",4,6000,1.00103818226049,1724.80953603377,2318.91866141977,0.00574347729242009,0.232986831388232,0.0246515103802137,TRUE
"posterior","fixed_design","SH","midpoint_0481",4,6000,1.00139324105755,2214.67694136085,3171.12618037976,0.00249364080888046,0.11389011693056,0.0218951466210264,TRUE
"posterior","fixed_design","SH","lower_0601",4,6000,1.00028976898391,5359.63294235908,8857.04934257309,0.00169304468504953,0.123854927821817,0.0136695787145847,TRUE
"posterior","fixed_design","SH","upper_0601",4,6000,1.00142025678036,1705.13834704508,2577.21989484687,0.00486217483253232,0.194582738893692,0.0249876986015121,TRUE
