"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","candidate_id","transition_multiplier","method","DGP","replication","case_role","diagnostic_role","elapsed_seconds_group","bulk_effective_draws_per_second","tail_effective_draws_per_second"
"future_h20_upper",1,,1402.0649952301,2038.03317393498,0.00921534952021525,0.0273234184936764,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.00978374834511,5.82859733837912
"future_h20_width",1,,1428.28692076627,2048.87275609208,0.00944019449536228,0.0271358301492185,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.08477617110936,5.85959759908048
"mean_lower",1,,1278.67856644746,2285.10614871803,0.00129847715331098,0.0279595732760682,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,3.65690931058214,6.5352045230038
"mean_midpoint",1,,879.526631584737,1384.70492335461,0.00297642606655932,0.0340233562348713,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,2.51536954817591,3.96013545506822
"mean_upper",1,,866.837508564145,1389.87078178163,0.00572874891066416,0.0342189291728284,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,2.47907976172391,3.97490936015635
"mean_width",1,,894.985814103713,1410.35524232928,0.00579809810642696,0.0336119709252491,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,2.55958146348524,4.03349313286091
"observed_loss",1,,980.078201180513,1687.78584409519,0.209472488639611,0.0321430303808975,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,2.80293827787632,4.82692048611424
"terminal_lower",1,,2652.02013938303,3479.63726912302,0.00146756003265622,0.0194665609033218,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,7.58454657334684,9.95145946823643
"terminal_midpoint",1,,1442.8223074915,1858.28584013954,0.00460884047659897,0.0268515870944998,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.12634611092315,5.31453562204404
"terminal_upper",1,,1402.0649952301,2038.03317393498,0.00921534952021525,0.0273234184936764,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.00978374834511,5.82859733837912
"terminal_width",1,,1428.28692076627,2048.87275609208,0.00944019449536228,0.0271358301492185,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.08477617110936,5.85959759908048
"training_t0001_lower",1,,2813.69525628938,3487.23462839175,0.0034124516636427,0.018926347695939,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,8.04692332370319,9.97318725391665
"training_t0001_midpoint",1,,2437.35040730122,2923.97892607138,0.00417811595056201,0.0202328161008815,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,6.97060984010576,8.36232501214428
"training_t0001_upper",1,,2635.73545372089,3400.52353655434,0.00726225318030402,0.0196224805142443,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,7.53797379096007,9.72520108492037
"training_t0001_width",1,,2881.59358713254,3200.62352782107,0.00777975176822852,0.0189585936493719,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,8.24110663509096,9.15350447382199
"training_t0050_lower",1,,1501.32491909266,2519.30865915964,0.00210602522409783,0.0258583607037805,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.29365848376759,7.20500330079603
"training_t0050_midpoint",1,,1741.85210273151,2767.53544590562,0.0023170293018902,0.0240270702589507,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.98154527594301,7.91491028712273
"training_t0050_upper",1,,1846.58684939871,2747.50394991268,0.00406617046978559,0.0233630370823994,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,5.28107752765882,7.85762195358556
"training_t0050_width",1,,1809.48175991625,2564.50414847709,0.00451331398600188,0.0235753201391824,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,5.17496020407266,7.33425846313169
"training_t0100_lower",1,,1710.95444966912,2916.83058998468,0.00158461466638373,0.0242205313533081,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.89318067977018,8.34188139364893
"training_t0100_midpoint",1,,1212.69314556607,2392.71617408972,0.00358601733648713,0.0287911397826463,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,3.4681967550458,6.84295982134044
"training_t0100_upper",1,,1256.22785205293,2264.777755241,0.00674145542971105,0.0282955298631164,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,3.59270222316166,6.47706708852574
"training_t0100_width",1,,1348.07384848918,2149.86807944854,0.0066852530968306,0.0272845290330421,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,3.85537377199396,6.14843542587975
"training_t0150_lower",1,,2553.32324318282,3414.10040089369,0.000949491836079736,0.0197196350207777,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,7.30228204799168,9.76402973421025
"training_t0150_midpoint",1,,1088.14584481832,1537.68892129244,0.00438028392289336,0.0307289297133872,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,3.11200232458959,4.39765636228358
"training_t0150_upper",1,,1062.90260522383,1629.36482133876,0.00876014011840902,0.0310714752074418,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,3.03980885836233,4.65984145025828
"training_t0150_width",1,,1075.94910758713,1643.45817163774,0.00885443536493834,0.0308582076651269,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,3.0771207186021,4.70014720440009
"training_t0200_lower",1,,2652.02013938303,3479.63726912302,0.00146756003265622,0.0194665609033218,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,7.58454657334684,9.95145946823643
"training_t0200_midpoint",1,,1442.8223074915,1858.28584013954,0.00460884047659897,0.0268515870944998,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.12634611092315,5.31453562204404
"training_t0200_upper",1,,1402.0649952301,2038.03317393498,0.00921534952021525,0.0273234184936764,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.00978374834511,5.82859733837912
"training_t0200_width",1,,1428.28692076627,2048.87275609208,0.00944019449536228,0.0271358301492185,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.08477617110936,5.85959759908048
"future_h01_lower",4,0.999999007213841,12270.9368229873,15093.9487669769,0.00121373319866581,0.00905025704814864,TRUE,"whole_scan_x8",8,"M02","S06",41,"guard","four_chain_sentinel",2630.962,4.66404943248413,5.73704552440397
"future_h01_midpoint",4,0.999957553715922,11726.4012658899,14316.4698176741,0.001043860572426,0.00924050191338421,TRUE,"whole_scan_x8",8,"M02","S06",41,"guard","four_chain_sentinel",2630.962,4.45707739826341,5.44153424400433
"future_h01_upper",4,0.999943470667188,12325.4626740929,13906.7586928507,0.00165693206482728,0.00905815951914681,TRUE,"whole_scan_x8",8,"M02","S06",41,"guard","four_chain_sentinel",2630.962,4.68477411459873,5.28580750799544
"future_h01_width",4,1.00001572490447,12857.5277728126,14450.4807172338,0.00201398143321132,0.00884494497488439,TRUE,"whole_scan_x8",8,"M02","S06",41,"guard","four_chain_sentinel",2630.962,4.88700626341719,5.49247032729238
