"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","sentinel"
"training_t0050_lower",1,NA,641.975151288923,1644.52491737238,0.00689732000367917,0.0394793735975361,TRUE,"S03",165,FALSE
"training_t0050_upper",1,NA,1349.62937090991,1960.54016439227,0.0031503872430653,0.0274389753412525,TRUE,"S03",165,FALSE
"training_t0050_midpoint",1,NA,759.64739509789,1625.205541152,0.00382313837453166,0.0362623460413731,TRUE,"S03",165,FALSE
"training_t0050_width",1,NA,761.804842257811,2247.49305496235,0.00750183575653432,0.0361990626801104,TRUE,"S03",165,FALSE
"training_t0100_lower",1,NA,630.272171203211,1162.74542858185,0.00491199393595353,0.0402529344667338,TRUE,"S03",165,FALSE
"training_t0100_upper",1,NA,1281.3463727357,2214.25781026297,0.00328535475904303,0.0279013202013026,TRUE,"S03",165,FALSE
"training_t0100_midpoint",1,NA,858.374625465405,1724.87851089951,0.00293306386119465,0.0343232081774925,TRUE,"S03",165,FALSE
"training_t0100_width",1,NA,903.047718418761,1675.65710380022,0.00559098141942518,0.0332339062379539,TRUE,"S03",165,FALSE
"training_t0150_lower",1,NA,665.390142443574,1529.11232871262,0.00767240541938664,0.0385775117074465,TRUE,"S03",165,FALSE
"training_t0150_upper",1,NA,844.234953191248,1758.96364109368,0.00425817612699643,0.0343853460364647,TRUE,"S03",165,FALSE
"training_t0150_midpoint",1,NA,758.400695685531,1512.85767351808,0.00433568503085166,0.0363106129360681,TRUE,"S03",165,FALSE
"training_t0150_width",1,NA,731.581516747781,1733.4233224499,0.00851207589257337,0.0370618512046606,TRUE,"S03",165,FALSE
"training_t0200_lower",1,NA,834.553108786476,1939.93847980013,0.00647848507531071,0.0346280798133145,TRUE,"S03",165,FALSE
"training_t0200_upper",1,NA,1197.95372414451,2174.62736375479,0.00427391384189772,0.0288175378794803,TRUE,"S03",165,FALSE
"training_t0200_midpoint",1,NA,930.205028346374,1697.29553310673,0.00391958331776763,0.0327810405985437,TRUE,"S03",165,FALSE
"training_t0200_width",1,NA,956.927547635556,2000.98677541037,0.00769504935920133,0.0322853370592829,TRUE,"S03",165,FALSE
"terminal_lower",1,NA,834.553108786476,1939.93847980013,0.00647848507531071,0.0346280798133145,TRUE,"S03",165,FALSE
"terminal_upper",1,NA,1197.95372414451,2174.62736375479,0.00427391384189772,0.0288175378794803,TRUE,"S03",165,FALSE
"terminal_midpoint",1,NA,930.205028346374,1697.29553310673,0.00391958331776763,0.0327810405985437,TRUE,"S03",165,FALSE
"terminal_width",1,NA,956.927547635556,2000.98677541037,0.00769504935920133,0.0322853370592829,TRUE,"S03",165,FALSE
"future_h01_lower",1,NA,834.553108786476,1939.93847980013,0.00647848507531071,0.0346280798133145,TRUE,"S03",165,FALSE
"future_h01_upper",1,NA,1197.95372414451,2174.62736375479,0.00427391384189772,0.0288175378794803,TRUE,"S03",165,FALSE
"future_h01_midpoint",1,NA,930.205028346374,1697.29553310673,0.00391958331776763,0.0327810405985437,TRUE,"S03",165,FALSE
"future_h01_width",1,NA,956.927547635556,2000.98677541037,0.00769504935920133,0.0322853370592829,TRUE,"S03",165,FALSE
"future_h05_lower",1,NA,834.553108786476,1939.93847980013,0.00647848507531071,0.0346280798133145,TRUE,"S03",165,FALSE
"future_h05_upper",1,NA,1197.95372414451,2174.62736375479,0.00427391384189772,0.0288175378794803,TRUE,"S03",165,FALSE
"future_h05_midpoint",1,NA,930.205028346374,1697.29553310673,0.00391958331776763,0.0327810405985437,TRUE,"S03",165,FALSE
