"provider","family","target","estimand","n_chains","n_draws_per_chain","rhat","ess_bulk","ess_tail","mcse_mean","sd","mcse_over_sd","pass"
"posterior","dlm","SH","mean_width_observed",5,6000,1.00639488098352,566.974533414284,625.109683606041,0.038628163375253,0.844556348541729,0.0457378165967861,TRUE
"posterior","dlm","SH","mean_midpoint_observed",5,6000,1.00501630997415,677.0420939557,619.368436312324,0.0193330214211693,0.444392186582777,0.0435044134547766,TRUE
"posterior","dlm","SH","observed_mean_tilted_loss",5,6000,1.00083997049275,4298.01943814194,6537.2517233534,0.0324643712932111,2.21709436671393,0.0146427557530302,TRUE
"posterior","dlm","SH","lower_time_001",5,6000,1.00252096327493,4802.18158483787,11443.1248750311,0.00740338582195172,0.510577767073386,0.0145000160590377,TRUE
"posterior","dlm","SH","upper_time_001",5,6000,1.00302609488644,1107.71412016051,1644.51071153529,0.0310165331452414,0.973701491096316,0.031854252487915,TRUE
"posterior","dlm","SH","width_time_001",5,6000,1.00405135806389,1204.88617551396,1681.57488308804,0.0346483948658895,1.1485682217265,0.0301665971689578,TRUE
"posterior","dlm","SH","lower_time_051",5,6000,1.0143141495369,303.505419054227,72.8280897242045,0.0206751945747344,0.351692100719436,0.0587877707018166,FALSE
"posterior","dlm","SH","upper_time_051",5,6000,1.01678412016649,295.745783127009,139.285947431569,0.0438956598382988,0.920413876013513,0.0476912191159256,FALSE
"posterior","dlm","SH","width_time_051",5,6000,1.02022372154999,214.844109412166,58.3454920237993,0.0598231703827634,0.933247213993097,0.0641021687349027,FALSE
"posterior","dlm","SH","lower_time_100",5,6000,1.00432518440303,2506.68639492083,7352.73540119578,0.0125064580335778,0.619755283009694,0.0201796715194475,TRUE
"posterior","dlm","SH","upper_time_100",5,6000,1.00694714856459,570.364397165383,656.792355776381,0.077141297159786,1.63497068338932,0.0471820675095352,TRUE
"posterior","dlm","SH","width_time_100",5,6000,1.00701695124804,564.140315165727,643.171086842429,0.0874575675946443,1.89324714725527,0.046194480061114,TRUE
"posterior","dlm","SH","lower_time_034",5,6000,1.0011413446772,4790.77830329248,7948.68583520474,0.00398756235383133,0.272639502000197,0.014625768916745,TRUE
"posterior","dlm","SH","upper_time_034",5,6000,1.00662514023773,724.470416778954,1000.75856480381,0.0335286476234222,0.86735979454856,0.0386559854793282,TRUE
"posterior","dlm","SH","width_time_034",5,6000,1.00640609757922,747.208187578201,1084.49570996061,0.0342635406967664,0.906918254711868,0.0377801863825666,TRUE
"posterior","dlm","SH","lower_time_071",5,6000,1.01067048671526,574.516475601037,177.685756484104,0.014844620737312,0.367578034930609,0.0403849504775615,FALSE
"posterior","dlm","SH","upper_time_071",5,6000,1.00818425121082,485.967973344051,583.703949537124,0.0515070179999633,1.06317531666002,0.0484464012593647,TRUE
"posterior","dlm","SH","width_time_071",5,6000,1.01332119845489,322.594768781681,239.325392162504,0.0539705789704181,1.05771274543869,0.0510257432399887,FALSE
